tag,theta,alpha,phase_deg,R_cross,pixels_outside
B_P252_H185_s47_wf,0.0,75,-62.41561418284301,0.3717339336872101,0.0
B_P252_H185_s47_wf,0.0,90,-94.27542771733935,0.38017797470092773,0.0
B_P252_H185_s47_wf,0.0,105,-127.22173993367713,0.371969997882843,0.0
B_P252_H185_s47_wf,0.0,120,-158.46210995196665,0.35673844814300537,0.0
B_P252_H185_s47_wf,0.0,135,173.9219289495887,0.3513889014720917,0.0
B_P252_H185_s47_wf,0.0,150,146.58027189067747,0.35679304599761963,0.0
B_P252_H185_s47_wf,0.0,165,117.58796301504924,0.37189435958862305,0.0
B_P252_H185_s47_wf,0.0,180,85.72062944227672,0.38000786304473877,0.0
B_P252_H185_s47_wf,0.0,-1,-1.9892362652489097,1.9751867486652674,0.35130205750465393
B_P252_H185_s47_wf,30.0,0,81.94872577502888,0.3919500708580017,0.0
B_P252_H185_s47_wf,30.0,15,46.68859818489007,0.3905625343322754,0.0
B_P252_H185_s47_wf,30.0,30,19.12436404394833,0.37960416078567505,0.0
B_P252_H185_s47_wf,30.0,45,-1.6554749974880683,0.3651038706302643,0.0
B_P252_H185_s47_wf,30.0,60,-21.257797536863908,0.35129642486572266,0.0
B_P252_H185_s47_wf,30.0,75,-41.77108054853433,0.3414730131626129,0.0
B_P252_H185_s47_wf,30.0,90,-66.32869103004585,0.3392883837223053,0.0
B_P252_H185_s47_wf,30.0,105,-96.0561399962317,0.3413863182067871,0.0
B_P252_H185_s47_wf,30.0,120,-131.3606843065431,0.35171082615852356,0.0
B_P252_H185_s47_wf,30.0,135,-167.07758762761569,0.36525261402130127,0.0
B_P252_H185_s47_wf,30.0,150,156.84472115650766,0.3795706033706665,0.0
B_P252_H185_s47_wf,30.0,165,120.22029060041547,0.3906196355819702,0.0
B_P252_H185_s47_wf,30.0,180,81.94872577502888,0.3919500708580017,0.0
B_P252_H185_s47_wf,30.0,-1,-1.9238891136811622,12.100890849495666,0.3392883837223053
B_P252_H185_s47_wf,45.0,0,80.7117033842587,0.32911646366119385,0.0
B_P252_H185_s47_wf,45.0,15,40.01255955425534,0.36041632294654846,0.0
B_P252_H185_s47_wf,45.0,30,18.100271093006004,0.3587459325790405,0.0
B_P252_H185_s47_wf,45.0,45,3.5986836665939714,0.31120190024375916,0.0
B_P252_H185_s47_wf,45.0,60,-11.14970240019272,0.2632383406162262,0.0
B_P252_H185_s47_wf,45.0,75,-26.13965304801572,0.22840949892997742,0.0
B_P252_H185_s47_wf,45.0,90,-42.72545605107104,0.2182367742061615,0.0
B_P252_H185_s47_wf,45.0,105,-62.87369447990826,0.22828835248947144,0.0
B_P252_H185_s47_wf,45.0,120,-91.63392718791779,0.2633298337459564,0.0
B_P252_H185_s47_wf,45.0,135,-128.2959784259584,0.31091898679733276,0.0
B_P252_H185_s47_wf,45.0,150,-172.89622578154956,0.35864001512527466,0.0
B_P252_H185_s47_wf,45.0,165,136.8239477179612,0.3605392575263977,0.0
B_P252_H185_s47_wf,45.0,180,80.7117033842587,0.32911646366119385,0.0
B_P252_H185_s47_wf,45.0,-1,-1.7704452468735132,24.056244401887348,0.2182367742061615
B_P252_H185_s47_wf,60.0,0,39.76045385689558,0.18628360331058502,0.0
B_P252_H185_s47_wf,60.0,15,30.67379558135323,0.2821856439113617,0.0
B_P252_H185_s47_wf,60.0,30,15.449479798765934,0.3320299983024597,0.0
B_P252_H185_s47_wf,60.0,45,3.1918178354727744,0.30807408690452576,0.0
B_P252_H185_s47_wf,60.0,60,-7.43256745857827,0.2693959176540375,0.0
B_P252_H185_s47_wf,60.0,75,-14.783346816940224,0.23177647590637207,0.0
B_P252_H185_s47_wf,60.0,90,-20.392952153967723,0.21767830848693848,0.0
B_P252_H185_s47_wf,60.0,105,-27.10516858908872,0.2318178117275238,0.0
B_P252_H185_s47_wf,60.0,120,-38.46999548115381,0.2691102921962738,0.0
B_P252_H185_s47_wf,60.0,135,-52.065930986360236,0.30760321021080017,0.0
B_P252_H185_s47_wf,60.0,150,-65.26436997243944,0.33195674419403076,0.0
B_P252_H185_s47_wf,60.0,165,-43.405992194309015,0.28200992941856384,0.0
B_P252_H185_s47_wf,60.0,180,39.76045385689558,0.18628360331058502,0.0
B_P252_H185_s47_wf,60.0,-1,-0.34191364917433376,27.475093202006853,0.18628360331058502
B_P252_H185_s47_wf,75.0,0,18.54669225715804,0.508315920829773,0.0
B_P252_H185_s47_wf,75.0,15,17.784424362764398,0.5505325198173523,0.0
B_P252_H185_s47_wf,75.0,30,8.38445164961522,0.5875930190086365,0.0
B_P252_H185_s47_wf,75.0,45,0.34281618574665207,0.5754232406616211,0.0
B_P252_H185_s47_wf,75.0,60,-4.659426985735761,0.5277316570281982,0.0
B_P252_H185_s47_wf,75.0,75,-5.514835181633104,0.46411097049713135,0.0
B_P252_H185_s47_wf,75.0,90,-4.709152897327569,0.4351543188095093,0.0
B_P252_H185_s47_wf,75.0,105,-5.0664016729968555,0.46397873759269714,0.0
B_P252_H185_s47_wf,75.0,120,-6.9703079395146235,0.5276823043823242,0.0
B_P252_H185_s47_wf,75.0,135,-7.578024020916509,0.5761300921440125,0.0
B_P252_H185_s47_wf,75.0,150,-5.01182248511293,0.5878522992134094,0.0
B_P252_H185_s47_wf,75.0,165,5.032117111571153,0.5504294633865356,0.0
B_P252_H185_s47_wf,75.0,180,18.54669225715804,0.508315920829773,0.0
B_P252_H185_s47_wf,75.0,-1,-0.05321702630541752,9.404780393745018,0.4351543188095093
