tag,variant,theta,R_cross,R_co,T_tot,A
B_P252_H185_s47_wf,lossless,5.0,0.531620442867279,0.20068199932575226,0.26769715547561646,3.110617399215698e-07
B_P252_H185_s47_wf,lossless,10.0,0.5634992122650146,0.19032339751720428,0.24702730774879456,-0.0008498737588524818
B_P252_H185_s47_wf,lossless,15.0,0.5449042320251465,0.2008417248725891,0.25415727496147156,9.67513769865036e-05
B_P252_H185_s47_wf,lossless,20.0,0.5525305271148682,0.20351658761501312,0.2441324144601822,-0.00017963373102247715
B_P252_H185_s47_wf,lossless,25.0,0.5664729475975037,0.20664294064044952,0.22685346007347107,3.060116432607174e-05
B_P252_H185_s47_wf,lossless,30.0,0.5830114483833313,0.21439188718795776,0.20256353914737701,3.3095828257501125e-05
B_P252_H185_s47_wf,lossless,35.0,0.602733850479126,0.23073339462280273,0.16654479503631592,-1.210416667163372e-05
B_P252_H185_s47_wf,lossless,40.0,0.6168704032897949,0.2683604955673218,0.11481678485870361,-4.774206900037825e-05
B_P252_H185_s47_wf,lossless,45.0,0.597487211227417,0.3596574068069458,0.04284407198429108,1.1340307537466288e-05
B_P252_H185_s47_wf,lossless,50.0,0.4234415590763092,0.5661585927009583,0.010379583574831486,2.0175008103251457e-05
B_P252_H185_s47_wf,lossless,55.0,0.07623797655105591,0.6306807994842529,0.29319465160369873,-0.00011338479816913605
B_P252_H185_s47_wf,lossless,60.0,0.1919090896844864,0.3087182939052582,0.4994855225086212,-0.000112948939204216
B_P252_H185_s47_wf,lossless,65.0,0.37506401538848877,0.1371246576309204,0.48784512281417847,-3.381073474884033e-05
B_P252_H185_s47_wf,lossless,70.0,0.4757192134857178,0.06513633579015732,0.45916998386383057,-2.5577843189239502e-05
B_P252_H185_s47_wf,lossless,75.0,0.5398270487785339,0.029339946806430817,0.4308667480945587,-3.3736228942871094e-05
B_P252_H185_s47_wf,lossless,80.0,0.623322606086731,0.011027365922927856,0.3656599521636963,-9.939074516296387e-06
B_P252_H185_s47_wf,lossless,85.0,0.7722128033638,0.002659120596945286,0.22508077323436737,4.73707914352417e-05
