tag,theta,pol,model,t_re,t_im,T_model
B_P252_H185_s47_wf,75.0,p,bg+MD,1.1237154020866127,0.4935476431465775,1.5063255809422191
B_P252_H185_s47_wf,75.0,p,bg+EQ,0.6904182872800868,0.5343135708888511,0.7621684034467638
B_P252_H185_s47_wf,75.0,p,ladder_all,-0.40470181926173576,0.5288457071202957,0.44346134445332414
B_P252_H185_s47_wf,75.0,p,full,-0.46884459257125854,0.531643807888031,0.502460390448995
B_P252_H185_s47_wf,75.0,s,bg_only,0.7001216411590576,0.36029544472694397,0.6199831199102385
B_P252_H185_s47_wf,75.0,s,bg+ED,0.26070615031625577,-0.045426233094878365,0.07003123946591237
B_P252_H185_s47_wf,75.0,s,bg+MD,0.9155966833467818,0.37376016710706583,0.9780139490715288
B_P252_H185_s47_wf,75.0,s,bg+EQ,0.6274961212704728,0.5051530817724487,0.6489310182336903
B_P252_H185_s47_wf,75.0,s,ladder_all,0.40355567261539516,0.11289612633074819,0.17560271624055224
B_P252_H185_s47_wf,75.0,s,full,0.3740982115268707,0.08187384158372879,0.14665279780328083
