tag,theta,phi,R_cross,R_co,T_cross,T_tot,A,abs_rx,abs_ry,dphi_r_deg,energy_x
rectangle,5.0,60.0,0.22914138436317444,0.4458475112915039,0.047203682363033295,0.1015588566660881,0.22345221042633057,0.6646064519882202,0.7513291239738464,321.0981750488281,1.0
rectangle,5.0,75.0,0.2289676070213318,0.4472188651561737,0.04720744490623474,0.10141578316688538,0.22239765524864197,0.7169249057769775,0.850720226764679,296.86248779296875,1.0
rectangle,5.0,90.0,0.22984464466571808,0.44838762283325195,0.04737108200788498,0.10165310651063919,0.2201145887374878,0.7478162050247192,0.8928803205490112,289.1050720214844,1.0
rectangle,10.0,0.0,0.2359386384487152,0.43244773149490356,0.046671658754348755,0.10410097986459732,0.22751256823539734,0.8887273073196411,0.7395514845848083,-287.396484375,1.0000000044237822
rectangle,10.0,15.0,0.23531553149223328,0.4333149194717407,0.04653223603963852,0.10353388637304306,0.22783565521240234,0.8453316688537598,0.7109013795852661,-295.2817687988281,1.0
rectangle,10.0,30.0,0.23394334316253662,0.43647921085357666,0.04626506567001343,0.1022317036986351,0.22734570503234863,0.7436951398849487,0.661501944065094,-320.1387939453125,1.0
rectangle,10.0,45.0,0.23268459737300873,0.4413541555404663,0.04604237154126167,0.10076001286506653,0.22520115971565247,0.6610894799232483,0.667603611946106,0.25283995270729065,1.0
rectangle,10.0,60.0,0.23082321882247925,0.44529038667678833,0.04559791088104248,0.09889434278011322,0.2249918431043625,0.6627168655395508,0.752574622631073,321.0370788574219,1.0
rectangle,10.0,75.0,0.22955185174942017,0.4496498107910156,0.045627936720848083,0.09826602041721344,0.2225322723388672,0.7195106148719788,0.8519093990325928,296.92657470703125,1.0
rectangle,10.0,90.0,0.22912698984146118,0.4498060941696167,0.04530532658100128,0.09740368276834488,0.2236631214618683,0.7478902339935303,0.8936030864715576,289.2809753417969,1.0
rectangle,15.0,0.0,0.24375887215137482,0.4122847318649292,0.04530984163284302,0.10735777020454407,0.23659861087799072,0.881827175617218,0.7310730218887329,-285.15374755859375,0.9999999962747097
rectangle,15.0,15.0,0.24263179302215576,0.4151184558868408,0.04510737210512161,0.1060657948255539,0.2361840009689331,0.8370684385299683,0.7030677199363708,-293.2955627441406,1.0000000074505806
rectangle,15.0,30.0,0.2403893768787384,0.4235626459121704,0.04458746314048767,0.10297288745641708,0.23307502269744873,0.7334586381912231,0.6564478874206543,-318.8744812011719,1.0
rectangle,15.0,45.0,0.23609621822834015,0.43350082635879517,0.04384364187717438,0.09875747561454773,0.231645405292511,0.65120530128479,0.6656283736228943,0.6005785465240479,1.0
rectangle,15.0,60.0,0.23256057500839233,0.4444875717163086,0.043155521154403687,0.09502996504306793,0.22792185842990875,0.6597635746002197,0.7541190981864929,321.0589599609375,1.0
rectangle,15.0,75.0,0.2301476001739502,0.45063260197639465,0.04232406988739967,0.09176885336637497,0.2274509072303772,0.7192400693893433,0.8536757230758667,296.9456787109375,1.0
rectangle,15.0,90.0,0.22941207885742188,0.4527907073497772,0.04190947115421295,0.0903429314494133,0.22745418548583984,0.7507193088531494,0.8948888778686523,289.4207458496094,0.9999999850988388
rectangle,20.0,0.0,0.2547713816165924,0.38243579864501953,0.04382222145795822,0.11557067930698395,0.2472221404314041,0.8679310083389282,0.7218794822692871,-281.7569580078125,0.9999999944120646
rectangle,20.0,15.0,0.2522232234477997,0.387578547000885,0.04355349391698837,0.11272984743118286,0.24746829271316528,0.8222668766975403,0.6923070549964905,-290.29510498046875,0.9999999962747097
rectangle,20.0,30.0,0.2476610392332077,0.4033516049385071,0.042622823268175125,0.10594700276851654,0.24304024875164032,0.7171383500099182,0.6478021740913391,-316.99554443359375,0.9999999925494194
rectangle,20.0,45.0,0.240341454744339,0.42394042015075684,0.04148760065436363,0.09786026179790497,0.23785783350467682,0.6387145519256592,0.6635622978210449,1.126065969467163,1.0
rectangle,20.0,60.0,0.23440897464752197,0.44080981612205505,0.03938687592744827,0.08887043595314026,0.23591068387031555,0.6524910926818848,0.7552584409713745,321.1040954589844,1.0
rectangle,20.0,75.0,0.23055896162986755,0.45346662402153015,0.038027696311473846,0.08327101171016693,0.23270341753959656,0.7206993699073792,0.855570912361145,297.135009765625,1.0000000149011612
rectangle,20.0,90.0,0.2285710722208023,0.4586983919143677,0.03774261102080345,0.0816757008433342,0.23105469346046448,0.7554157376289368,0.8965970277786255,289.86285400390625,0.9999999850988388
rectangle,25.0,0.0,0.2666170001029968,0.34093937277793884,0.04242269694805145,0.1318410485982895,0.26060253381729126,0.8427203893661499,0.7105877995491028,-277.12957763671875,1.0000000074505806
rectangle,25.0,15.0,0.26334813237190247,0.3509908616542816,0.042192693799734116,0.12669137120246887,0.25896957516670227,0.7974817156791687,0.6818268895149231,-286.1834411621094,0.9999999962747097
rectangle,25.0,30.0,0.2554166615009308,0.3756110668182373,0.040613606572151184,0.11249532550573349,0.25647690892219543,0.6933737993240356,0.6361369490623474,-314.3809814453125,0.9999999850988388
rectangle,25.0,45.0,0.24574482440948486,0.40736469626426697,0.03798669949173927,0.09623374789953232,0.25065678358078003,0.6179674863815308,0.6587268114089966,1.987626075744629,1.0000000149011612
rectangle,25.0,60.0,0.23568841814994812,0.4377216696739197,0.035242654383182526,0.08256694674491882,0.2440228909254074,0.6442078351974487,0.7575504779815674,321.32525634765625,0.9999999850988388
