CQe,Cm,Cp,F,Qxx_im,Qxx_re,Qxy_im,Qxy_re,Qxz_im,Qxz_re,Qyy_im,Qyy_re,Qyz_im,Qyz_re,Qzz_im,Qzz_re,S_Qxz,S_px,Tx_im,Tx_re,beta,it,lr,mx_im,mx_re,my_im,my_re,mz_im,mz_re,px_im,px_re,py_im,py_re,pz_im,pz_re,t
1.6727753696197443e-14,1.9894172411595224e-14,4.2130657857352883e-13,-1.2819002787437639,9.643756419428978e-40,4.600403396235234e-40,2.0308609536083124e-39,-1.9064487018959678e-41,2.4984855528768005e-37,-2.6925528858014122e-37,-2.2590547153525577e-39,-1.9616878142987158e-40,2.136959060894403e-40,-2.161513916439149e-40,1.2946725079695449e-39,-2.638711320066134e-40,0.05529498571820452,1.3927392498407232,6.173813324117781e-41,-5.299605849324915e-38,31.62277660168379,60,0.010000000000000002,3.454231297840089e-26,4.0894832618743455e-26,5.397126558205743e-23,4.9312257304299105e-23,-3.0953314706457935e-27,-3.9897267527554663e-26,1.122203414028965e-30,-9.858872799278779e-35,4.003280732166793e-35,-8.342565493187312e-35,-2.1087412891692172e-33,2.0926242432274334e-33,212.8989372253418
,,,-1.2819130997798263,,,,,,,,,,,,,0.05528239379546168,1.3930207600092481,,,33.49654391578275,61,0.00973823051692127,,,,,,,,,,,,,216.49472761154175
,,,-1.2819268905395715,,,,,,,,,,,,,0.05528121426023299,1.3930120609730214,,,35.48133892335754,62,0.009476640437570565,,,,,,,,,,,,,219.97953009605408
,,,-1.2819276540005153,,,,,,,,,,,,,0.05527029480561429,1.3932851434279612,,,37.58374042884442,63,0.009215409042721553,,,,,,,,,,,,,223.54254031181335
,,,-1.2819370454610166,,,,,,,,,,,,,0.055270249041745836,1.393260127329959,,,39.81071705534972,64,0.008954715367323467,,,,,,,,,,,,,226.9588484764099
,,,-1.2819380860014147,,,,,,,,,,,,,0.05526410279004165,1.3934121803229786,,,42.169650342858205,65,0.008694738077799486,,,,,,,,,,,,,230.62028288841248
,,,-1.2819482752685778,,,,,,,,,,,,,0.055262081375497464,1.3934347530678997,,,44.6683592150963,66,0.008435655349597691,,,,,,,,,,,,,234.19858407974243
,,,-1.2819489052540176,,,,,,,,,,,,,0.05525620384424625,1.3935812150554423,,,47.31512589614805,67,0.008177644745078528,,,,,,,,,,,,,237.92168736457825
,,,-1.2819554450769801,,,,,,,,,,,,,0.055256715608435175,1.3935500810383386,,,50.118723362727216,68,0.007920883091822406,,,,,,,,,,,,,241.33045721054077
,,,-1.2819589354840237,,,,,,,,,,,,,0.05525589379894568,1.3935610787959418,,,53.08844442309881,69,0.007665546361440947,,,,,,,,,,,,,244.68310523033142
