P,h,pad,seed,J_hard,J_soft,A_hard_min,A_hard,fill,s_flip,wall_s,tag
850.0,120.0,0.04,333,0.16945988739708898,0.16946404690228736,0.15136247379302714,"[0.18447113033491458, 0.17753534558495, 0.15136247379302714]",0.5674375179546107,0.23110811460849648,144.31905722618103,P850_h120_pad0.040_s333
850.0,120.0,0.12,7777,0.1687359019655128,0.16873722563884408,0.15258295664488708,"[0.17947126973976257, 0.1778906991188629, 0.15258295664488708]",0.6249479383590171,0.345389010841973,141.31536746025085,P850_h120_pad0.120_s7777
850.0,120.0,0.08,333,0.16741637698805215,0.16741137941009748,0.14704177937942897,"[0.183178958432772, 0.1783925396059931, 0.14704177937942897]",0.6038237311385459,0.2732838880855407,137.6548891067505,P850_h120_pad0.080_s333
700.0,140.0,0.04,1001,0.16692074818756347,0.16691943634033485,0.15792367836229648,"[0.15856857853454676, 0.18893323307525833, 0.15792367836229648]",0.5659293306521115,0.18715068984820735,93.1431987285614,P700_h140_pad0.040_s1001
1075.0,140.0,0.04,7777,0.16648564113030107,0.16647629172248096,0.1443261558714598,"[0.1443261558714598, 0.18483556802057666, 0.17808352059855992]",0.47479172651536916,0.7764885724213155,145.38313126564026,P1075_h140_pad0.040_s7777
700.0,140.0,0.08,1001,0.16589387187837887,0.16588887946072983,0.15675780861508892,"[0.15675780861508892, 0.18673928337443713, 0.1584176555271617]",0.6349451303155007,0.18299279332492216,137.02587699890137,P700_h140_pad0.080_s1001
1075.0,140.0,0.12,1001,0.16580772230234303,0.16580099018565167,0.15471027893566858,"[0.15471027893566858, 0.16863606206384085, 0.1759389970518943]",0.4993752603082049,0.5804717531573016,140.72195172309875,P1075_h140_pad0.120_s1001
1075.0,140.0,0.08,1001,0.16526781189007744,0.16527252814573656,0.14850023542207624,"[0.14850023542207624, 0.17938983496097471, 0.1721676775823313]",0.5006858710562414,0.5433281508002827,143.99289727210999,P1075_h140_pad0.080_s1001
700.0,140.0,0.12,1001,0.16459606122717307,0.16459430228654662,0.15498421359466652,"[0.15498421359466652, 0.18453146793691033, 0.15820549641443937]",0.7013744273219492,0.1723113791988944,136.97421860694885,P700_h140_pad0.120_s1001
700.0,120.0,0.04,1001,0.15675189413185867,0.15675110823744046,0.14852240698900343,"[0.14852240698900343, 0.17710770427285505, 0.14866888993056326]",0.5817293881068658,0.1987615979999813,92.42439985275269,P700_h120_pad0.040_s1001
1075.0,120.0,0.12,1001,0.15563324039307652,0.15562350204201017,0.14738881615962007,"[0.14738881615962007, 0.15523955914613485, 0.16557376169452687]",0.547167846730529,0.48927605309989614,142.00683665275574,P1075_h120_pad0.120_s1001
1075.0,120.0,0.04,1001,0.15556371082741757,0.15556148212660495,0.13857554423305085,"[0.13857554423305085, 0.16979822826903146, 0.162684744300998]",0.4867854064923872,0.5338912199685588,150.22509908676147,P1075_h120_pad0.040_s1001
700.0,120.0,0.08,1001,0.1555114425804494,0.155505346132646,0.14670505433860637,"[0.14670505433860637, 0.17495597218481762, 0.14860608499318217]",0.6459190672153635,0.17848133796299784,94.75889134407043,P700_h120_pad0.080_s1001
1075.0,120.0,0.08,1001,0.15419646449015478,0.15419628174556144,0.14086255886173404,"[0.14086255886173404, 0.1601497575223677, 0.16408910882505146]",0.5314643347050755,0.5367597094071477,145.93580961227417,P1075_h120_pad0.080_s1001
700.0,120.0,0.12,1001,0.15380179009855882,0.15380081881422875,0.14466212936317457,"[0.14466212936317457, 0.17259225978896164, 0.14767930978824828]",0.7050187421907539,0.17442438616615585,93.281667470932,P700_h120_pad0.120_s1001
