tag,theta,phi,F,Faf,T,co,Rtot,A,Rcross
B_P239_H170_s11_wf,40.0,90.0,0.15776674449443817,0.15776674449443817,0.6156603097915649,0.017371565103530884,0.17513830959796906,0.2092013955116272,0.15776674449443817
B_P239_H170_s11_wf,50.0,0.0,0.4413164556026459,0.4413164556026459,0.3412126302719116,0.08504039794206619,0.5263568758964539,0.13243049383163452,0.4413164258003235
B_P239_H170_s11_wf,50.0,45.0,0.24775582551956177,0.2653096616268158,0.4802818298339844,0.05103752017021179,0.32977592945098877,0.18994224071502686,0.2787383198738098
B_P239_H170_s11_wf,50.0,90.0,0.08355957269668579,0.08355957269668579,0.710083544254303,0.0008334066951647401,0.08439299464225769,0.20552343130111694,0.08355958759784698
B_P252_H155_s11_wf,0.0,0.0,0.3304179310798645,0.3304179310798645,0.34526994824409485,0.16499802470207214,0.4954160451889038,0.15931400656700134,0.3304179310798645
B_P252_H155_s11_wf,0.0,45.0,0.3304179310798645,0.3304179310798645,0.34526994824409485,0.16499802470207214,0.4954160451889038,0.15931400656700134,0.3304179310798645
B_P252_H155_s11_wf,0.0,90.0,0.3304179310798645,0.3304179310798645,0.34526994824409485,0.16499802470207214,0.4954160451889038,0.15931400656700134,0.3304179310798645
B_P252_H155_s11_wf,20.0,0.0,0.3496764600276947,0.3496764600276947,0.3378754258155823,0.15186411142349243,0.5015406012535095,0.1605839729309082,0.3496764302253723
B_P252_H155_s11_wf,20.0,45.0,0.32673612236976624,0.3270159065723419,0.36708223819732666,0.13473166525363922,0.4619549810886383,0.17096281051635742,0.3272232711315155
B_P252_H155_s11_wf,20.0,90.0,0.29884961247444153,0.29884961247444153,0.4062489867210388,0.11224620044231415,0.41109582781791687,0.18265515565872192,0.29884961247444153
B_P252_H155_s11_wf,40.0,0.0,0.4122428596019745,0.4122428596019745,0.3049665689468384,0.11273405700922012,0.5249769687652588,0.17005646228790283,0.4122428596019745
B_P252_H155_s11_wf,40.0,45.0,0.2752121388912201,0.2803001403808594,0.44329172372817993,0.07040073722600937,0.35555732250213623,0.20115095376968384,0.2851565480232239
B_P252_H155_s11_wf,40.0,90.0,0.12568481266498566,0.12568481266498566,0.6404146552085876,0.009976036846637726,0.13566085696220398,0.223924458026886,0.12568479776382446
