run,theta,phi,alpha,F,T,co,A
D2_P272_H230_cont30_D2_P272_H230_warm~-home-ue54,0.0,0.0,0.0,0.4418404698371887,0.103337824344635,0.0192393884062767,0.4355822205543518
D2_P272_H230_cont30_D2_P272_H230_warm~-home-ue54,0.0,45.0,0.0,0.4418404698371887,0.103337824344635,0.0192393884062767,0.4355822205543518
D2_P272_H230_cont30_D2_P272_H230_warm~-home-ue54,0.0,90.0,0.0,0.4418404698371887,0.103337824344635,0.0192393884062767,0.4355822205543518
D2_P272_H230_cont30_D2_P272_H230_warm~-home-ue54,10.0,0.0,0.0,0.2366372942924499,0.1457971334457397,0.0252030938863754,0.5923624038696289
D2_P272_H230_cont30_D2_P272_H230_warm~-home-ue54,10.0,45.0,0.0,0.2890591025352478,0.1203031092882156,0.0210250802338123,0.5663636326789856
D2_P272_H230_cont30_D2_P272_H230_warm~-home-ue54,10.0,90.0,0.0,0.4168587923049927,0.091087207198143,0.0275454558432102,0.4645084142684936
D2_P272_H230_cont30_D2_P272_H230_warm~-home-ue54,20.0,0.0,0.0,0.2576983273029327,0.1587322950363159,0.0508176013827323,0.5327517986297607
D2_P272_H230_cont30_D2_P272_H230_warm~-home-ue54,20.0,45.0,0.0,0.2312359362840652,0.1448420733213424,0.0244649574160575,0.5850794911384583
D2_P272_H230_cont30_D2_P272_H230_warm~-home-ue54,20.0,90.0,0.0,0.339844673871994,0.0653079599142074,0.0553565472364425,0.539490818977356
D2_P272_H230_cont30_D2_P272_H230_warm~-home-ue54,30.0,0.0,0.0,0.2473174631595611,0.1379177570343017,0.0838687568902969,0.5308959484100342
D2_P272_H230_cont30_D2_P272_H230_warm~-home-ue54,30.0,45.0,0.0,0.2772692739963531,0.1396397203207016,0.0139666851609945,0.5541641712188721
D2_P272_H230_cont30_D2_P272_H230_warm~-home-ue54,30.0,90.0,0.0,0.2288050204515457,0.0541077479720115,0.0997236222028732,0.6173635125160217
D2_P272_H230_cont30_D2_P272_H230_warm~-home-ue54,0.0,0.0,30.0,0.4302822947502136,0.1442646086215973,0.0014928713208064,0.4163532555103302
D2_P272_H230_cont30_D2_P272_H230_warm~-home-ue54,0.0,0.0,60.0,0.430517703294754,0.1440699845552444,0.0015022235456854,0.4162861704826355
D2_P272_H230_cont30_D2_P272_H230_warm~-home-ue54,0.0,0.0,90.0,0.4414660632610321,0.1036872565746307,0.0193298868834972,0.435516744852066
D2_P272_H230_cont30_D2_P272_H230_warm~-home-ue54,30.0,0.0,30.0,0.2051103562116623,0.1579118818044662,0.0975838601589202,0.5212897658348083
D2_P272_H230_cont30_D2_P272_H230_warm~-home-ue54,30.0,0.0,60.0,0.1169979274272918,0.1491399407386779,0.0137418694794178,0.5932522416114807
D2_P272_H230_cont30_D2_P272_H230_warm~-home-ue54,30.0,0.0,90.0,0.2284560352563858,0.0540878772735595,0.0999317988753318,0.6175241470336914
D2_P272_H230_cont30_D2_P272_H230_warm~-home-ue54,45.0,0.0,30.0,0.176386296749115,0.1429227888584137,0.2003101408481598,0.4594448506832123
D2_P272_H230_cont30_D2_P272_H230_warm~-home-ue54,45.0,0.0,60.0,0.074493907392025,0.1730259209871292,0.0173034276813268,0.5580328106880188
D2_P272_H230_cont30_D2_P272_H230_warm~-home-ue54,45.0,0.0,90.0,0.1034330874681472,0.090933583676815,0.164512425661087,0.6411207318305969
D2_P272_H230_cont30_D2_P272_H230_warm~-home-ue54,50.0,0.0,30.0,0.1641635447740554,0.1319048553705215,0.2447214424610138,0.4358217120170593
D2_P272_H230_cont30_D2_P272_H230_warm~-home-ue54,50.0,0.0,60.0,0.06819599121809,0.1719885468482971,0.0225449707359075,0.5495085120201111
D2_P272_H230_cont30_D2_P272_H230_warm~-home-ue54,50.0,0.0,90.0,0.0892169401049614,0.1124662011861801,0.1805474460124969,0.6177693605422974
