tag,campaign,stage,source,P,H,F,T,co,Rtot,A,Rcross,abs_rx,abs_ry,dphi_deg,phase_err_deg,offdiag,n_islands,fill
A_P208_H230_s11_g80_o7,rtfree,coarse,final,208.0,230.0,0.07850588113069534,0.654522180557251,0.12956826388835907,0.2080780565738678,0.1373997926712036,0.07850980758666992,0.19722189009189606,0.6142021417617798,294.9296569824219,114.92965698242188,0.003970024641603231,1,0.19625
A_P208_H260_s11_g80_o7,rtfree,coarse,final,208.0,260.0,0.00029122826526872814,0.6625168919563293,0.10814587771892548,0.10843712091445923,0.22904598712921143,0.0002912282943725586,0.32012441754341125,0.3382227122783661,5.040338039398193,174.9596619606018,6.299855886027217e-05,1,0.45625
A_P226_H110_s11_g80_o7,rtfree,coarse,final,226.0,110.0,0.003308393293991685,0.28790542483329773,0.486650288105011,0.4899587333202362,0.22213581204414368,0.0033083963207900524,0.7306596040725708,0.6678727269172668,7.912309646606445,172.08769035339355,0.00011185069161001593,1,0.449375
A_P226_H140_s11_g80_o7,rtfree,coarse,final,226.0,140.0,0.22980330884456635,0.43487435579299927,0.18302464485168457,0.4128279685974121,0.15229767560958862,0.22980332374572754,0.2902108430862427,0.8610653877258301,-100.78923034667969,79.21076965332031,0.000164295663125813,1,0.273125
A_P226_H170_s11_g80_o7,rtfree,coarse,final,226.0,170.0,0.3096587061882019,0.23771880567073822,0.2570233941078186,0.5666821599006653,0.1955990344285965,0.3096587359905243,0.8886061310768127,0.5862963795661926,-264.2015075683594,84.20150756835938,0.00014876278873998672,1,0.295625
A_P226_H200_s11_g80_o7,rtfree,coarse,final,226.0,200.0,0.26253724098205566,0.3497447371482849,0.1528431475162506,0.4153803586959839,0.2348749041557312,0.2625372111797333,0.7861942052841187,0.4611501395702362,-252.38861083984375,72.38861083984375,4.1346971556777135e-05,1,0.26
A_P226_H230_s11_g80_o7,rtfree,coarse,final,226.0,230.0,0.00021347378788050264,0.7459914684295654,0.03877216577529907,0.03898564726114273,0.21502286195755005,0.00021347682923078537,0.18307773768901825,0.21084077656269073,-2.6588287353515625,177.34117126464844,0.00011107497266493738,1,0.45375
A_P226_H260_s11_g80_o7,rtfree,coarse,final,226.0,260.0,0.003539647674188018,0.6932366490364075,0.05951967090368271,0.06305932998657227,0.24370402097702026,0.0035396527964621782,0.18503430485725403,0.30311864614486694,-3.545319080352783,176.45468091964722,0.00029478699434548616,1,0.408125
A_P244_H110_s11_g80_o7,rtfree,coarse,final,244.0,110.0,0.13425807654857635,0.34469151496887207,0.2757624387741089,0.41002053022384644,0.2452879548072815,0.13425806164741516,0.760365903377533,0.49181780219078064,67.76583862304688,112.23416137695312,4.018685285700485e-05,1,0.330625
A_P244_H140_s11_g80_o7,rtfree,coarse,final,244.0,140.0,0.24751992523670197,0.4613812267780304,0.15360049903392792,0.40112048387527466,0.13749828934669495,0.24751991033554077,0.20552150905132294,0.8717808723449707,-121.61392211914062,58.386077880859375,6.352479249471799e-05,1,0.236875
A_P244_H170_s11_g80_o7,rtfree,coarse,final,244.0,170.0,0.3860001266002655,0.20023265480995178,0.20162653923034668,0.587626576423645,0.2121407687664032,0.3860000967979431,0.8884982466697693,0.6211473941802979,-250.48353576660156,70.48353576660156,0.00017688708612695336,1,0.275
A_P244_H200_s11_g80_o7,rtfree,coarse,final,244.0,200.0,0.3415164053440094,0.22500117123126984,0.1575145721435547,0.4990309476852417,0.27596789598464966,0.3415163457393646,0.8049551844596863,0.5917001366615295,-247.2742156982422,67.27421569824219,0.00014523058780469,1,0.240625
A_P244_H230_s11_g80_o7,rtfree,coarse,final,244.0,230.0,0.0014835766050964594,0.7759479880332947,0.011157053522765636,0.012640632688999176,0.21141135692596436,0.0014835785841569304,0.10260041058063507,0.12146776169538498,320.91375732421875,140.91375732421875,9.867915650829673e-05,1,0.38625
A_P244_H260_s11_g80_o7,rtfree,coarse,final,244.0,260.0,0.032553430646657944,0.5297101140022278,0.08858953416347504,0.12114298343658447,0.34914690256118774,0.03255343437194824,0.12460102140903473,0.4761938154697418,-340.8066101074219,160.80661010742188,6.87345745973289e-05,1,0.403125
A_P262_H110_s11_g80_o7,rtfree,coarse,final,262.0,110.0,0.031169818714261055,0.06710983067750931,0.6315536499023438,0.6627236604690552,0.2701665163040161,0.031169820576906204,0.8818641901016235,0.7401099801063538,-336.9085388183594,156.90853881835938,2.626302193675656e-05,1,0.465625
