Te_K,lambda_nm,eps_re,eps_im,T,R,A,Fx,Fy,Fz,Ftot,mean_Ez2_over_Einc2,within_trusted_Te(<=6000K)
1250,1282.0,0.160043,0.398829,0.526065,0.151583,0.322352,0.030082,0.002630,0.289540,0.322251,6.440241,1
1250,1284.0,0.150028,0.401342,0.464698,0.181324,0.353979,0.029649,0.002804,0.321415,0.353869,7.115564,1
1250,1286.0,0.140000,0.403861,0.396476,0.215804,0.387719,0.029084,0.002977,0.355538,0.387600,7.834084,1
1250,1288.0,0.129960,0.406383,0.325306,0.253852,0.420842,0.028387,0.003126,0.389200,0.420714,8.535827,1
1250,1290.0,0.119906,0.408912,0.259618,0.292169,0.448212,0.027595,0.003214,0.417268,0.448077,9.108920,1
1250,1292.0,0.109840,0.411448,0.213316,0.324463,0.462221,0.026809,0.003193,0.432081,0.462083,9.388705,1
1250,1294.0,0.099762,0.413987,0.201837,0.342854,0.455309,0.026187,0.003026,0.425963,0.455175,9.213225,1
1250,1296.0,0.089670,0.416532,0.234479,0.341186,0.424335,0.025893,0.002709,0.395611,0.424213,8.517601,1
1250,1298.0,0.079566,0.419082,0.307063,0.319210,0.373727,0.026002,0.002293,0.345326,0.373622,7.401120,1
1250,1300.0,0.069448,0.421639,0.403045,0.283044,0.313911,0.026461,0.001854,0.285509,0.313824,6.091372,1
1250,1302.0,0.059318,0.424201,0.503145,0.241376,0.255478,0.027129,0.001458,0.226822,0.255409,4.817441,1
1250,1304.0,0.049176,0.426767,0.594389,0.200932,0.204679,0.027870,0.001138,0.175617,0.204625,3.713183,1
1250,1306.0,0.039020,0.429340,0.670572,0.165545,0.163884,0.028586,0.000896,0.134359,0.163841,2.828140,1
1250,1308.0,0.028852,0.431918,0.731327,0.136224,0.132449,0.029233,0.000723,0.102460,0.132415,2.147095,1
1250,1310.0,0.018671,0.434503,0.778228,0.112825,0.108947,0.029795,0.000602,0.078522,0.108919,1.638177,1
1250,1312.0,0.008477,0.437092,0.813932,0.094474,0.091594,0.030275,0.000521,0.060774,0.091570,1.262323,1
1250,1314.0,-0.001729,0.439687,0.840850,0.080254,0.078896,0.030683,0.000468,0.047725,0.078876,0.986945,1
1250,1316.0,-0.011950,0.442287,0.860997,0.069331,0.069672,0.031028,0.000434,0.038190,0.069653,0.786320,1
1250,1318.0,-0.022181,0.444893,0.875962,0.061013,0.063025,0.031322,0.000415,0.031270,0.063008,0.641032,1
1250,1320.0,-0.032426,0.447505,0.886938,0.054760,0.058302,0.031574,0.000406,0.026305,0.058285,0.536923,1
1250,1322.0,-0.042685,0.450122,0.894888,0.050116,0.054996,0.031791,0.000404,0.022784,0.054979,0.463050,1
1250,1324.0,-0.052955,0.452745,0.900479,0.046761,0.052760,0.031979,0.000407,0.020358,0.052743,0.411960,1
1250,1326.0,-0.063238,0.455373,0.904227,0.044438,0.051335,0.032143,0.000414,0.018762,0.051318,0.378052,1
1250,1328.0,-0.073535,0.458009,0.906541,0.042938,0.050522,0.032287,0.000423,0.017795,0.050505,0.357030,1
1250,1330.0,-0.083844,0.460649,0.907726,0.042100,0.050174,0.032416,0.000434,0.017307,0.050156,0.345772,1
1250,1332.0,-0.094165,0.463294,0.908010,0.041804,0.050186,0.032530,0.000446,0.017191,0.050168,0.342019,1
1250,1334.0,-0.104501,0.465947,0.907578,0.041947,0.050475,0.032633,0.000460,0.017363,0.050455,0.343976,1
1250,1336.0,-0.114849,0.468604,0.906573,0.042450,0.050977,0.032727,0.000474,0.017757,0.050957,0.350309,1
1250,1338.0,-0.125209,0.471266,0.905108,0.043247,0.051645,0.032812,0.000488,0.018324,0.051624,0.359993,1
1250,1340.0,-0.135582,0.473936,0.903273,0.044285,0.052442,0.032892,0.000503,0.019026,0.052421,0.372239,1
1250,1342.0,-0.145969,0.476610,0.901140,0.045520,0.053340,0.032965,0.000519,0.019833,0.053317,0.386435,1
1250,1344.0,-0.156367,0.479291,0.898772,0.046915,0.054313,0.033034,0.000534,0.020721,0.054290,0.402080,1
1250,1346.0,-0.166778,0.481978,0.896209,0.048444,0.055348,0.033099,0.000550,0.021674,0.055323,0.418835,1
1250,1348.0,-0.177204,0.484671,0.893499,0.050075,0.056426,0.033162,0.000566,0.022673,0.056401,0.436358,1
1250,1350.0,-0.187641,0.487369,0.890666,0.051793,0.057540,0.033222,0.000583,0.023709,0.057514,0.454453,1
1250,1352.0,-0.198092,0.490073,0.887747,0.053576,0.058677,0.033280,0.000599,0.024771,0.058650,0.472885,1
1250,1354.0,-0.208555,0.492783,0.884758,0.055410,0.059832,0.033336,0.000615,0.025852,0.059804,0.491523,1
1250,1356.0,-0.219032,0.495499,0.881713,0.057288,0.060999,0.033392,0.000632,0.026945,0.060970,0.510264,1
1250,1358.0,-0.229520,0.498221,0.878640,0.059189,0.062171,0.033447,0.000649,0.028045,0.062141,0.528954,1
1250,1360.0,-0.240022,0.500949,0.875546,0.061109,0.063345,0.033502,0.000666,0.029145,0.063313,0.547531,1
1500,1240.0,0.390630,0.344440,0.881761,0.017657,0.100583,0.028892,0.001237,0.070422,0.100551,1.754329,1
1500,1242.0,0.380954,0.346832,0.879195,0.017212,0.103593,0.029068,0.001258,0.073235,0.103560,1.814734,1
