Te_K,lambda_nm,eps_re,eps_im,T,R,A,Fx,Fy,Fz,Ftot,mean_Ez2_over_Einc2,within_trusted_Te(<=6000K)
3500,1332.0,0.232314,0.420658,0.033168,0.050945,0.915886,0.028505,0.007898,0.879328,0.915732,19.267181,1
3500,1334.0,0.222943,0.423121,0.035917,0.051035,0.913048,0.027990,0.007697,0.877206,0.912893,19.137512,1
3500,1336.0,0.213561,0.425586,0.038565,0.051468,0.909966,0.027505,0.007506,0.874799,0.909811,19.002884,1
3500,1338.0,0.204168,0.428058,0.041101,0.052214,0.906685,0.027051,0.007325,0.872154,0.906529,18.864212,1
3500,1340.0,0.194764,0.430536,0.043516,0.053238,0.903247,0.026623,0.007154,0.869314,0.903091,18.722527,1
3500,1342.0,0.185347,0.433018,0.045802,0.054506,0.899692,0.026222,0.006992,0.866323,0.899537,18.578869,1
3500,1344.0,0.175920,0.435505,0.047949,0.055984,0.896067,0.025844,0.006839,0.863228,0.895911,18.434162,1
3500,1346.0,0.166482,0.437999,0.049967,0.057650,0.892383,0.025490,0.006696,0.860041,0.892227,18.288718,1
3500,1348.0,0.157030,0.440498,0.051845,0.059475,0.888680,0.025157,0.006561,0.856806,0.888524,18.143480,1
3500,1350.0,0.147568,0.443001,0.053595,0.061438,0.884967,0.024844,0.006435,0.853531,0.884810,17.998657,1
3500,1352.0,0.138095,0.445510,0.055208,0.063509,0.881283,0.024551,0.006317,0.850258,0.881126,17.855112,1
3500,1354.0,0.128610,0.448024,0.056691,0.065667,0.877643,0.024276,0.006208,0.847001,0.877485,17.713074,1
3500,1356.0,0.119112,0.450544,0.058053,0.067895,0.874051,0.024018,0.006107,0.843769,0.873894,17.572685,1
3500,1358.0,0.109605,0.453069,0.059292,0.070172,0.870536,0.023777,0.006013,0.840588,0.870378,17.434571,1
3500,1360.0,0.100085,0.455600,0.060416,0.072481,0.867103,0.023551,0.005928,0.837465,0.866944,17.298737,1
3500,1362.0,0.090553,0.458135,0.061431,0.074808,0.863761,0.023341,0.005850,0.834410,0.863601,17.165485,1
3500,1364.0,0.081011,0.460677,0.062343,0.077135,0.860522,0.023146,0.005779,0.831437,0.860362,17.034898,1
3500,1366.0,0.071456,0.463224,0.063155,0.079446,0.857400,0.022964,0.005715,0.828559,0.857239,16.907351,1
3500,1368.0,0.061890,0.465776,0.063880,0.081739,0.854381,0.022796,0.005659,0.825764,0.854219,16.782537,1
3500,1370.0,0.052313,0.468333,0.064523,0.084000,0.851477,0.022641,0.005609,0.823065,0.851315,16.660665,1
3500,1372.0,0.042724,0.470897,0.065085,0.086211,0.848703,0.022499,0.005567,0.820474,0.848540,16.541896,1
3500,1374.0,0.033123,0.473465,0.065580,0.088376,0.846044,0.022369,0.005530,0.817980,0.845879,16.426079,1
3500,1376.0,0.023511,0.476038,0.066009,0.090474,0.843517,0.022252,0.005501,0.815599,0.843351,16.313436,1
