wavelength_nm,K_re_over_k0,K_im_over_k0,pole_residual,bound_both_claddings,Ez_localization_fraction
1519.0,5.536657894189187,-12.468350774490727,4.742874840267547e-16,True,0.5395203463212626
1520.0,5.58847918444916,-12.516355057900574,2.2887833992611187e-16,True,0.5396844094069071
1521.0,5.640130721064812,-12.564618145573188,1.5700924586837752e-16,True,0.5398237022423555
1522.0,5.691610032806689,-12.613138640889364,3.554447978966673e-16,True,0.5399388938241226
1523.0,5.742914647293307,-12.661915139286188,1.6653345369377348e-16,True,0.5400306331478273
1524.0,5.794042138109444,-12.710946202947156,2.7755575615628914e-16,True,0.5400995519222246
1525.0,5.844990077268098,-12.760230315478886,1.1102230246251565e-16,True,0.5401462652049577
1526.0,5.895756052299525,-12.809765924176368,4.965068306494546e-16,True,0.5401713711914011
1527.0,5.946337686340859,-12.859551449435745,2.220446049250313e-16,True,0.5401754520232634
1528.0,5.996732633863412,-12.909585247704657,5.551115123125783e-17,True,0.540159075268411
1529.0,6.046938544643235,-12.959865617082267,1.2412670766236366e-16,True,0.5401227933261047
1530.0,6.096953103092655,-13.010390863198918,2.0014830212433605e-16,True,0.5400671430354264
1531.0,6.146774047703808,-13.061159191594326,5.551115123125783e-17,True,0.5399926496979705
1532.0,6.196399092600692,-13.1121687977144,4.47545209131181e-16,True,0.5398998229908526
1533.0,6.245826022911272,-13.163417820626378,2.7755575615628914e-16,True,0.5397891610733063
1534.0,6.295052639407571,-13.21490436238657,3.1401849173675503e-16,True,0.5396611490721591
1535.0,6.344076773837432,-13.266626484053004,3.885780586188048e-16,True,0.5395162599651177
1536.0,6.392896285134036,-13.318582215656294,5.551115123125783e-17,True,0.539354954593922
1537.0,6.441509080384683,-13.3707695200713,3.3766115072321297e-16,True,0.5391776835051546
1538.0,6.489913067059628,-13.423186362545557,3.885780586188048e-16,True,0.5389848842878063
1539.0,6.538106245680771,-13.475830630537187,2.482534153247273e-16,True,0.5387769862127736
1540.0,6.586086605849352,-13.528700196371211,1.6653345369377348e-16,True,0.5385544064778128
1541.0,6.633852174825393,-13.581792896198383,5.551115123125783e-17,True,0.5383175522124453
1542.0,6.681401055986356,-13.635106528542801,2.482534153247273e-16,True,0.5380668216398022
1543.0,6.728731360103059,-13.688638851794348,5.551115123125783e-17,True,0.5378026029222795
1544.0,6.7758412334727485,-13.742387600341893,0.0,True,0.5375252746397254
1545.0,6.822728897694346,-13.796350460486568,0.0,True,0.5372352075255878
1546.0,6.869392595619062,-13.85052512388672,2.220446049250313e-16,True,0.5369327621749956
1547.0,6.915830597244713,-13.904909218872625,2.0014830212433605e-16,True,0.5366182912377137
1548.0,6.962041254211475,-13.959500343952543,2.7755575615628914e-16,True,0.5362921398907758
1549.0,7.008022941417918,-14.014296106147684,1.1102230246251565e-16,True,0.5359546438880232
1550.0,7.053774069269774,-14.069294044024202,4.440892098500626e-16,True,0.5356061320293857
1551.0,7.099293115476847,-14.124491696845075,1.1102230246251565e-16,True,0.5352469252375723
1552.0,7.144578595940088,-14.179886575367709,5.551115123125783e-17,True,0.5348773369361778
1553.0,7.1896290685632485,-14.235476177194451,2.2887833992611187e-16,True,0.5344976729510011
1554.0,7.234443156110416,-14.291257953682246,3.1401849173675503e-16,True,0.5341082329775492
1555.0,7.279019507662523,-14.347229371575668,4.440892098500626e-16,True,0.5337093084952894
1556.0,7.323356832514863,-14.40338786271089,1.2412670766236366e-16,True,0.5333011848678146
1557.0,7.3674538924716675,-14.459730820107149,4.577566798522237e-16,True,0.53288414145782
1558.0,7.411309501870032,-14.51625567304708,5.551115123125783e-17,True,0.5324584499680328
1559.0,7.454922516908938,-14.572959794975723,2.220446049250313e-16,True,0.5320243766751797
1560.0,7.498291838724459,-14.629840555802296,0.0,True,0.5315821813790969
1561.0,7.5414164382975075,-14.686895340674795,4.002966042486721e-16,True,0.531132117576862
1562.0,7.584295321622364,-14.744121477648424,1.5700924586837752e-16,True,0.53067443372406
1563.0,7.626927555412092,-14.801516343759461,1.1102230246251565e-16,True,0.5302093713230441
1564.0,7.669312241939611,-14.859077261731493,3.885780586188048e-16,True,0.5297371670910377
1565.0,7.711448555484253,-14.916801589716671,3.3306690738754696e-16,True,0.5292580516283231
1566.0,7.753335706458498,-14.97468663466994,2.220446049250313e-16,True,0.5287722509702448
1567.0,7.794972956738381,-15.032729752202389,4.47545209131181e-16,True,0.528279984666458
1568.0,7.836359628617364,-15.09092826750967,2.220446049250313e-16,True,0.5277814679221043
1569.0,7.877495082850739,-15.149279523137759,4.002966042486721e-16,True,0.5272769102488193
1570.0,7.918378748586813,-15.207780840447539,2.7755575615628914e-16,True,0.5267665169950599
1571.0,7.959010080634931,-15.266429576753923,2.2887833992611187e-16,True,0.5262504874497943
1572.0,7.999388601588278,-15.325223071107713,1.6653345369377348e-16,True,0.5257290169219824
1573.0,8.039513877132718,-15.384158677460468,5.551115123125783e-17,True,0.5252022956955785
1574.0,8.079385515465116,-15.44323376582932,5.551115123125783e-17,True,0.5246705091271486
1575.0,8.11900318532123,-15.50244570034109,1.6653345369377348e-16,True,0.5241338385551008
1576.0,8.158366596948378,-15.561791863960913,3.1401849173675503e-16,True,0.5235924605529385
1577.0,8.197475500040374,-15.62126964570984,1.6653345369377348e-16,True,0.5230465473025766
1578.0,8.236329713599764,-15.680876466980871,2.482534153247273e-16,True,0.5224962666111239
1579.0,8.274929065603938,-15.74060974649735,5.551115123125783e-16,True,0.521941781831313
1580.0,8.313273471910755,-15.800466929069302,4.718447854656915e-16,True,0.5213832526002908
1581.0,8.351362856253505,-15.860445459159864,1.3877787807814457e-16,True,0.5208208342530656
1582.0,8.389197209387337,-15.920542832397485,1.2412670766236366e-16,True,0.5202546777545842
1583.0,8.426776554009573,-15.9807565163193,2.498001805406602e-16,True,0.519684930958866
1584.0,8.464100951340987,-16.041084047805015,1.6653345369377348e-16,True,0.5191117367288032
1585.0,8.501170522399981,-16.101522963372883,6.004449063730082e-16,True,0.5185352348615836
1586.0,8.537985399850916,-16.16207081038494,2.3714374201337736e-16,True,0.5179555612021636
1587.0,8.574545770687415,-16.222725186369157,2.3714374201337736e-16,True,0.5173728475726846
1588.0,8.610851865398603,-16.283483692629652,3.0531133177191805e-16,True,0.5167872226787236
1589.0,8.646903944901949,-16.344343963290054,8.326672684688674e-17,True,0.5161988113955853
1590.0,8.682702305920072,-16.405303658877585,1.7772239894833365e-16,True,0.5156077350810984
1591.0,8.718247273349265,-16.466360474150726,2.237726045655905e-16,True,0.5150141113943468
1592.0,8.753539225327524,-16.52751211076786,1.3877787807814457e-16,True,0.5144180553212601
1593.0,8.788578546291102,-16.58875632715757,9.42055475210265e-16,True,0.5138196775426888
1594.0,8.823365658195993,-16.650090890428444,4.163336342344337e-17,True,0.5132190859747718
1595.0,8.85790104711211,-16.71151360380922,6.23728986632994e-16,True,0.512616385680301
1596.0,8.892185180976313,-16.773022308930756,5.134781488891349e-16,True,0.51201167770302
1597.0,8.926218575520716,-16.83461485790718,1.8875832159447664e-16,True,0.5114050606817286
1598.0,8.960001786809784,-16.896289161321988,1.3877787807814457e-16,True,0.5107966298567584
1599.0,8.993535369274053,-16.958043135291987,2.482534153247273e-16,True,0.5101864776007645
