Stage A: 1052 evaluations planned
[170/1052    517s] rod_veins              [0.2, 0.22]                fill=0.411 score=  0.00%  no complete gap at target  | TM@t=- TE@t=-
[171/1052    520s] rod_veins              [0.23, 0.02]               fill=0.188 score=  0.00%  no complete gap at target  | TM@t=- TE@t=-
[172/1052    523s] rod_veins              [0.23, 0.04]               fill=0.211 score=  0.00%  no complete gap at target  | TM@t=- TE@t=-
[173/1052    526s] rod_veins              [0.23, 0.06]               fill=0.234 score=  0.00%  no complete gap at target  | TM@t=- TE@t=-
[174/1052    529s] rod_veins              [0.23, 0.08]               fill=0.256 score=  0.00%  no complete gap at target  | TM@t=- TE@t=-
[175/1052    532s] rod_veins              [0.23, 0.1]                fill=0.279 score=  0.00%  no complete gap at target  | TM@t=- TE@t=-
[176/1052    535s] rod_veins              [0.23, 0.12]               fill=0.302 score=  0.00%  no complete gap at target  | TM@t=- TE@t=-
[177/1052    539s] rod_veins              [0.23, 0.14]               fill=0.326 score=  0.00%  no complete gap at target  | TM@t=- TE@t=-
[178/1052    542s] rod_veins              [0.23, 0.16]               fill=0.349 score=  0.00%  no complete gap at target  | TM@t=- TE@t=-
[179/1052    545s] rod_veins              [0.23, 0.18]               fill=0.373 score=  0.00%  no complete gap at target  | TM@t=- TE@t=-
[180/1052    548s] rod_veins              [0.23, 0.2]                fill=0.398 score=  0.00%  no complete gap at target  | TM@t=- TE@t=-
[181/1052    551s] rod_veins              [0.23, 0.22]               fill=0.423 score=  0.00%  no complete gap at target  | TM@t=- TE@t=-
[182/1052    554s] rod_veins              [0.26, 0.02]               fill=0.234 score=  0.00%  no complete gap at target  | TM@t=- TE@t=-
[183/1052    557s] rod_veins              [0.26, 0.04]               fill=0.253 score=  0.00%  no complete gap at target  | TM@t=- TE@t=-
[184/1052    560s] rod_veins              [0.26, 0.06]               fill=0.273 score=  0.00%  no complete gap at target  | TM@t=- TE@t=-
[185/1052    563s] rod_veins              [0.26, 0.08]               fill=0.293 score=  0.00%  no complete gap at target  | TM@t=- TE@t=-
[186/1052    566s] rod_veins              [0.26, 0.1]                fill=0.313 score=  0.00%  no complete gap at target  | TM@t=- TE@t=-
[187/1052    569s] rod_veins              [0.26, 0.12]               fill=0.334 score=  0.00%  no complete gap at target  | TM@t=- TE@t=-
[188/1052    573s] rod_veins              [0.26, 0.14]               fill=0.355 score=  0.00%  no complete gap at target  | TM@t=- TE@t=-
[189/1052    576s] rod_veins              [0.26, 0.16]               fill=0.376 score=  0.00%  no complete gap at target  | TM@t=- TE@t=-
[190/1052    579s] rod_veins              [0.26, 0.18]               fill=0.398 score=  0.00%  no complete gap at target  | TM@t=- TE@t=-
[191/1052    582s] rod_veins              [0.26, 0.2]                fill=0.419 score=  0.00%  no complete gap at target  | TM@t=- TE@t=-
[192/1052    585s] rod_veins              [0.26, 0.22]               fill=0.441 score=  0.00%  no complete gap at target  | TM@t=- TE@t=-
[193/1052    588s] rod_veins              [0.29, 0.02]               fill=0.282 score=  0.00%  no complete gap at target  | TM@t=- TE@t=-
