h_nm,lam_nm,R_p0550,R_bare,clean,AR_gain
227.2,1302.0,0.0094987219720505,0.0349659484513376,True,0.025467226479287102
227.2,1303.0,0.0101080788513838,0.0349659484513376,True,0.024857869599953803
227.2,1304.0,0.0105362355252237,0.0349659484513376,True,0.024429712926113904
227.2,1305.0,0.011040590841692,0.0349659484513376,True,0.023925357609645603
227.2,1306.0,0.0115506960181058,0.0349659484513376,True,0.023415252433231802
227.2,1307.0,0.0119829745072432,0.0349659484513376,True,0.022982973944094404
227.2,1308.0,0.0123853946146377,0.0349659484513376,True,0.022580553836699904
227.2,1309.0,0.0128037647472708,0.0349659484513376,True,0.022162183704066803
227.2,1310.0,0.0132757681633671,0.0349659484513376,True,0.021690180287970505
227.2,1311.0,0.0136299810750996,0.0349659484513376,True,0.021335967376238003
227.2,1312.0,0.0140023446940699,0.0349659484513376,True,0.020963603757267704
227.2,1313.0,0.01438151235817,0.0349659484513376,True,0.020584436093167603
227.2,1314.0,0.0147033645442724,0.0349659484513376,True,0.0202625839070652
227.2,1315.0,0.0150486993934343,0.0349659484513376,True,0.019917249057903305
227.2,1316.0,0.0154021162322871,0.0349659484513376,True,0.019563832219050503
227.2,1317.0,0.0157159206323397,0.0349659484513376,True,0.019250027818997904
227.2,1318.0,0.0160341089058807,0.0349659484513376,True,0.018931839545456904
227.2,1319.0,0.0163633508639917,0.0349659484513376,True,0.018602597587345903
227.2,1320.0,0.0166328714667299,0.0349659484513376,True,0.0183330769846077
227.2,1321.0,0.0169368200498009,0.0349659484513376,True,0.0180291284015367
227.2,1322.0,0.0172233607876737,0.0349659484513376,True,0.017742587663663902
227.2,1323.0,0.0174842930495795,0.0349659484513376,True,0.0174816554017581
227.2,1324.0,0.0177788615569635,0.0349659484513376,True,0.017187086894374103
227.2,1325.0,0.0180616326448666,0.0349659484513376,True,0.016904315806471004
227.2,1326.0,0.0183476378831829,0.0349659484513376,True,0.016618310568154705
227.2,1327.0,0.0186117809778102,0.0349659484513376,True,0.016354167473527404
227.2,1328.0,0.0188988028722423,0.0349659484513376,True,0.016067145579095304
227.2,1329.0,0.0191696357175835,0.0349659484513376,True,0.015796312733754102
227.2,1330.0,0.0194612488444715,0.0349659484513376,True,0.015504699606866103
227.2,1331.0,0.0197545966879769,0.0349659484513376,True,0.015211351763360702
227.2,1332.0,0.0200548754221165,0.0349659484513376,True,0.014911073029221102
227.2,1333.0,0.020323856924333,0.0349659484513376,True,0.014642091527004603
227.2,1334.0,0.0206217810373253,0.0349659484513376,True,0.014344167414012302
227.2,1335.0,0.0209377661812786,0.0349659484513376,True,0.014028182270059003
227.2,1336.0,0.0212367312159113,0.0349659484513376,True,0.013729217235426302
227.2,1337.0,0.0215622953358698,0.0349659484513376,True,0.013403653115467803
227.2,1338.0,0.0218825580719077,0.0349659484513376,True,0.013083390379429904
227.2,1339.0,0.0222014358593222,0.0349659484513376,True,0.012764512592015404
227.2,1340.0,0.0225160850176391,0.0349659484513376,True,0.012449863433698503
227.2,1341.0,0.0228667031702645,0.0349659484513376,True,0.012099245281073104
227.2,1342.0,0.0232048797649884,0.0349659484513376,True,0.011761068686349203
227.2,1343.0,0.0235624780077035,0.0349659484513376,True,0.011403470443634104
227.2,1344.0,0.0239207776815622,0.0349659484513376,True,0.011045170769775403
227.2,1345.0,0.0243122772254545,0.0349659484513376,True,0.010653671225883104
227.2,1346.0,0.0246738237207698,0.0349659484513376,True,0.010292124730567804
227.2,1347.0,0.0250686543386681,0.0349659484513376,True,0.009897294112669503
227.2,1348.0,0.0254734301039779,0.0349659484513376,True,0.009492518347359702
227.2,1349.0,0.0258603169866292,0.0349659484513376,True,0.009105631464708403
227.2,1350.0,0.0262781790365562,0.0349659484513376,True,0.008687769414781402
227.2,1351.0,0.026691884898642,0.0349659484513376,True,0.008274063552695603
227.2,1352.0,0.0271393137972166,0.0349659484513376,True,0.007826634654121003
227.2,1353.0,0.0275840166646017,0.0349659484513376,True,0.007381931786735903
227.2,1354.0,0.0280351806878089,0.0349659484513376,True,0.006930767763528703
227.2,1355.0,0.0284806115985762,0.0349659484513376,True,0.006485336852761404
227.2,1356.0,0.0289675691633975,0.0349659484513376,True,0.005998379287940104
227.2,1357.0,0.0294405162828038,0.0349659484513376,True,0.005525432168533802
227.2,1358.0,0.0299211646073338,0.0349659484513376,True,0.0050447838440038015
227.2,1359.0,0.0304178577322041,0.0349659484513376,False,0.004548090719133504
227.2,1360.0,0.0309156682625205,0.0349659484513376,False,0.004050280188817104
227.2,1361.0,0.0314183275359799,0.0349659484513376,False,0.0035476209153577007
227.2,1362.0,0.0319576444526081,0.0349659484513376,False,0.0030083039987295057
227.2,1363.0,0.032436411098617,0.0349659484513376,False,0.002529537352720601
227.2,1364.0,0.0329909882671943,0.0349659484513376,False,0.0019749601841433026
227.2,1365.0,0.0335428728913618,0.0349659484513376,False,0.0014230755599758046
227.2,1366.0,0.0340892112547338,0.0349659484513376,False,0.0008767371966038051
227.2,1367.0,0.0345978856138089,0.0349659484513376,False,0.0003680628375287015
227.2,1368.0,0.0351456346261564,0.0349659484513376,False,-0.00017968617481879667
227.2,1369.0,0.0357263386475558,0.0349659484513376,False,-0.0007603901962181941
227.2,1370.0,0.0362763812561229,0.0349659484513376,False,-0.0013104328047852942
227.2,1371.0,0.036804300517579,0.0349659484513376,False,-0.0018383520662413957
227.2,1372.0,0.0373535070060611,0.0349659484513376,False,-0.0023875585547234943
227.2,1373.0,0.0378937787697596,0.0349659484513376,False,-0.0029278303184219964
227.2,1374.0,0.0384373477303615,0.0349659484513376,False,-0.0034713992790238943
227.2,1375.0,0.0389795948750266,0.0349659484513376,False,-0.004013646423688996
227.2,1376.0,0.0394996345123659,0.0349659484513376,False,-0.004533686061028296
227.2,1377.0,0.039952104373277,0.0349659484513376,False,-0.004986155921939399
227.2,1378.0,0.0404372240849165,0.0349659484513376,False,-0.005471275633578895
