set,id,f_ED,f_MD,f_EQ,f_MQ,T,R
P0750_lam,l1330.2,0.072370066487536,0.6389894321775627,0.2353101553306364,0.0533303460042649,0.5808890105177189,0.4168649619117816
P0750_lam,l1330.4,0.0704145545417967,0.6363634797591139,0.2428026286496508,0.0504193370494385,0.5349534195703961,0.4644139144839409
P0750_lam,l1330.6,0.0687288765844598,0.6334447702756303,0.2501911386716265,0.0476352144682832,0.4778687411833256,0.519028425689258
P0750_lam,l1330.8,0.0672852783764053,0.6303065712487401,0.2574765515856336,0.0449315987892208,0.4167366707249545,0.5813729624687001
P0750_lam,l1331,0.0661281298478093,0.627051776025861,0.2643763304988719,0.0424437636274578,0.3555559419114077,0.6426406854054004
P0750_lam,l1331.2,0.0651593667314759,0.6236561528234258,0.2711006085688617,0.0400838718762366,0.2975102982676013,0.7012669747247896
P0750_lam,l1331.4,0.0643904783355627,0.6199775954311784,0.2778576373388184,0.0377742888944403,0.2424553125743885,0.7572988363067638
P0750_lam,l1331.6,0.0638349600501931,0.6162143335851002,0.2843281207566952,0.0356225856080114,0.1946202976716084,0.8041248140974122
P0750_lam,l1331.8,0.0634389508738896,0.6122136670097641,0.2908262763963661,0.03352110571998,0.1524899670938866,0.8456928404775373
P0750_lam,l1332,0.0632202566109294,0.60818856392174,0.2970372100756153,0.0315539693917151,0.1186146130844751,0.8795567132364115
P0750_lam,l1332.2,0.0631461558887175,0.6040424351931624,0.3031179116682655,0.0296934972498545,0.0906795845798267,0.9076935691748996
P0750_lam,l1332.4,0.063226807136405,0.5996899235356719,0.3092070209787783,0.0278762483491448,0.06804745169907,0.9309628839397324
P0750_lam,l1332.6,0.0634176860276985,0.5954477728832537,0.3149236076341729,0.0262109334548749,0.0511283601930869,0.9484721561849389
P0750_lam,l1332.8,0.0637098332461111,0.5912754861108689,0.3203097377898489,0.0247049428531711,0.0382476879875987,0.961928925562378
P0750_lam,l1333,0.0641605364590406,0.5868118152538062,0.3258377706137301,0.0231898776734228,0.0280830481245862,0.9713231274227732
P0750_lam,l1333.2,0.0647091384654283,0.5821915628908522,0.3313890902457546,0.0217102083979647,0.0206918725817703,0.9785456501755784
P0750_lam,l1333.4,0.0652906488918882,0.5780353773812755,0.3362127379516262,0.0204612357752099,0.0160708776118139,0.9836791912570236
P0750_lam,l1333.6,0.0660384109493492,0.5732869844058391,0.3415418809134219,0.0191327237313896,0.0127383396872343,0.9869273231049293
P0750_lam,l1333.8,0.0668347162913047,0.5687592474357288,0.3464734016543588,0.0179326346186076,0.0111391162686732,0.9878794807909204
P0750_lam,l1334,0.0676678394483223,0.5644010231975144,0.3510985943267993,0.0168325430273638,0.0107657925369858,0.9883654531108188
P0750_lam,l1334.2,0.0685631128029764,0.5599538641244687,0.3556916428598302,0.0157913802127245,0.0112759945355629,0.9885492052828514
P0750_lam,l1334.4,0.0695477057341948,0.5554285544797826,0.3602386462906665,0.0147850934953561,0.0125655536521842,0.9869602549578912
P0750_lam,l1334.6,0.0705254045223569,0.5511286155070184,0.3644628186574579,0.0138831613131665,0.0144229199380393,0.9852243716213184
P0750_lam,l1334.8,0.071627366257714,0.5464966221797163,0.3689075873473311,0.0129684242152385,0.0169992030515481,0.9827752772886328
P0750_lam,l1335,0.0727046530339189,0.542248013588309,0.3728798539704736,0.0121674794072986,0.0197470942955043,0.9801915671534748
P0750_lam,l1335.2,0.0738571541556043,0.5377773849940043,0.3769815832369643,0.011383877613427,0.0230326221653207,0.9767054692574508
P0750_lam,l1335.4,0.0749951750751482,0.5335368953944409,0.3807998441017222,0.0106680854286884,0.0263708823788049,0.9735671189346378
P0750_lam,l1335.6,0.0762236753164156,0.5291561108996918,0.3846432489827804,0.0099769648011122,0.0301086256778232,0.969548935970995
P0750_lam,l1335.8,0.0774048027879588,0.5249795968906046,0.388262244018544,0.0093533563028925,0.0338771934009513,0.9661679077626588
P0750_lam,l1336,0.0786619079015374,0.5206980341173497,0.3918860353303753,0.0087540226507374,0.0379557498934472,0.9615886711910958
P0750_lam,l1336.2,0.0799343002449224,0.5164302930313299,0.3954516760326309,0.0081837306911166,0.0421095110562834,0.957696315369277
P0750_lam,l1336.4,0.0812194940250945,0.5122400381130522,0.3988770492380696,0.0076634186237836,0.0463821269141182,0.953419017656928
P0750_lam,l1336.6,0.082537517422384,0.5080461195220201,0.4022477063663063,0.0071686566892895,0.0506950832882882,0.948921997361339
P0750_lam,l1336.8,0.0837533823689383,0.5041881427199321,0.4053180692704094,0.0067404056407201,0.054863816247041,0.9447458634501926
P0750_lam,l1337,0.085026522183125,0.5002477831124359,0.408396122264124,0.006329572440315,0.0592170424656768,0.94038082338283
P0750_lam,l1337.2,0.0863762072317078,0.4961398093584668,0.4115534800564453,0.0059305033533799,0.0638463084005372,0.9358236247998684
P0750_lam,l1337.4,0.0876669632789911,0.4922716172011852,0.4144890358838839,0.0055723836359395,0.0682038347351207,0.9315500021694646
P0750_lam,l1337.6,0.088983325964014,0.4883581612269246,0.4174236672258273,0.0052348455832339,0.0727523299192287,0.9270983664765112
P0750_lam,l1337.8,0.0902929060306286,0.4845602636285145,0.420220657681128,0.0049261726597287,0.0771866721021669,0.9225325368389652
