order,lam_nm,f_t_re,f_t_im,f_r_re,f_r_im,f_T,f_R,b_t_re,b_t_im,b_r_re,b_r_im,b_T,b_R
13,1338.0,-0.1829228401184082,-0.3045351803302765,-0.6940782070159912,0.5881718993186951,0.13072779600259662,0.8686389796803864,-0.18302249908447266,-0.3043699562549591,-0.8308905959129333,0.29549047350883484,0.14387680478849707,0.8559065612820103
15,1329.0,-0.2728602886199951,0.35359206795692444,-0.6832433938980103,-0.46586284041404724,0.27502392426334266,0.7258701282491872,-0.2729604244232178,0.3530007302761078,-0.717623233795166,-0.16400852799415588,0.2879099873856008,0.7124075891179587
15,1329.5,-0.1568467617034912,0.2875175178050995,-0.8439480066299438,-0.3245374858379364,0.1608945764516989,0.8376265031520334,-0.15698713064193726,0.28626349568367004,-0.7975872159004211,-0.13391751050949097,0.18619054878997954,0.8119864988519284
15,1330.0,-0.08718584477901459,0.20840226113796234,-0.9300256967544556,-0.18324817717075348,0.09040146811596463,0.9086831926851139,-0.08703687787055969,0.20808491110801697,-0.8505488634109497,-0.08920979499816895,0.12201414572887725,0.8781777734505785
15,1330.5,-0.04869375750422478,0.13431361317634583,-0.9696657657623291,-0.053507912904024124,0.04905888966770869,0.9497417913942473,-0.048533979803323746,0.13418543338775635,-0.8832166194915771,-0.044879257678985596,0.08264098927420262,0.9166712249332161
15,1331.0,-0.030106576159596443,0.06335252523422241,-0.9803062677383423,0.06189718842506409,0.026402099148816645,0.9715786438950605,-0.030418338254094124,0.06306460499763489,-0.9026868343353271,0.0016506314277648926,0.05954826297668793,0.9400308218551529
15,1331.5,-0.02488686516880989,0.0032241414301097393,-0.9740207195281982,0.15876594185829163,0.016914603118499648,0.9827849150334266,-0.024740133434534073,0.0029995765071362257,-0.9129484295845032,0.042539745569229126,0.04872078640472207,0.9512182941589622
15,1332.0,-0.029389016330242157,-0.049324046820402145,-0.9551217555999756,0.2413281351327896,0.01638611717291121,0.9820720611311999,-0.029570696875452995,-0.04919128492474556,-0.9157673120498657,0.07964928448200226,0.04609204500862533,0.9532682118549525
15,1332.5,-0.037602394819259644,-0.09048537164926529,-0.9345426559448242,0.30253076553344727,0.02047144068422986,0.9793794851318192,-0.03754560276865959,-0.09021347016096115,-0.9145013093948364,0.11025682091712952,0.04818536141110035,0.9516163838498484
15,1333.0,-0.05030902102589607,-0.12702398002147675,-0.9083682298660278,0.3582499623298645,0.02812293115753063,0.9706836204780533,-0.05056275054812431,-0.1268215924501419,-0.9097740054130554,0.13862375915050507,0.054082175470059946,0.9456341670326238
